,comment_body,page_id,post_id,user_id
0,Peace On March พี่จ๋าๆ ร้านนี้ห้ามพลาดนะ,366743047016721,320764744931291_563418500665913,138515310108387
1,จัดปายยย อิอิ,366743047016721,320764744931291_563418500665913,814144658647625
2,Satang Navatat,366743047016721,320764744931291_561890404152056,4635822069514
3,Nan Nattha Sqpxoic Quisaxmnb จะไปๆ,366743047016721,320764744931291_561890404152056,741732952588732
4,Tourlek Jandee Angkana Hongsatorn นี่ ร้านนี้ที่บอกว่ามีแถวออฟฟิสเรา อร่อยอยู่ แต่เน้นชาบูไปเลย แม่กินได้เปล่า ราคาถูกกว่าตรง cdc,366743047016721,320764744931291_561890404152056,290757907771805
5,Panyawat Meengern,366743047016721,320764744931291_561890404152056,778028758901093
6,Thanyathip Mai,366743047016721,320764744931291_561890404152056,882930058386732
7,Natsima Jamrat อยากกิน,366743047016721,320764744931291_561890404152056,10204600422104213
8,"Piyawan Kovitrojanapong จงเติมคำในช่องว่า 
..........",366743047016721,320764744931291_561890404152056,4243840912277
9,Tharin Singchan อยากโวยยยยย,366743047016721,320764744931291_561890404152056,925910527459967
10,Fernn Nisarat Bnnus Aunchisa Beam Natcha Nut Thitanon Belle Prcy Rojana Patthanavibool,366743047016721,320764744931291_561890404152056,968354869860721
11,Netnet Afternoon,366743047016721,320764744931291_561890404152056,455275594628362
12,Muay Looksorn,366743047016721,320764744931291_561890404152056,810763185654433
13,BookBig Kumnertnoppaluck,366743047016721,320764744931291_561890404152056,1696859017206680
14,Benzko Noppakun อีกรอบมะ,366743047016721,320764744931291_561890404152056,10203343217721064
15,กนกพร มิ้น ตันติยาภินันท์ ชิงแท็กก่อน!,366743047016721,320764744931291_561890404152056,755098727912871
16,Somrumpa Sae-Tang,366743047016721,320764744931291_561890404152056,10152778401903436
17,Chayada Narath,366743047016721,320764744931291_561890404152056,380780362112263
18,Noey Atichart,366743047016721,320764744931291_561890404152056,869266183158600
19,Gift Lertrussameechit,366743047016721,320764744931291_561890404152056,10202987429075892
20,ฮัลโหลSakda Krajangmol,366743047016721,320764744931291_561890404152056,784771311584715
21,Dome's Hara แงงง,366743047016721,320764744931291_561890404152056,10203790223097807
22,Pop Pratchaya รีบกลับมา พาไปกินด้วยนะ,366743047016721,320764744931291_561890404152056,1116792465013723
23,Ratthaphong Khamsribusa,366743047016721,320764744931291_561890404152056,252536291930590
24,Tanadej Wongpet,366743047016721,320764744931291_561890404152056,997428616938064
25,Cherry Chararin พรุ่งนี้กินกัน,366743047016721,320764744931291_561890404152056,10153448414037942
26,Earthz Worawut,366743047016721,320764744931291_561890404152056,613545495405206
27,ร้านนี้จ้า Yotakaree Jakkit,366743047016721,320764744931291_561890404152056,808060429246199
28,นี่ดีกว่าใกล้ๆ Keaw Robyn Nopparat Roykaew,366743047016721,320764744931291_561890404152056,810920502283421
29,ต้องจัด...ถือว่าเด็ด,366743047016721,320764744931291_561890404152056,293892214306469
30,Folk Kn,366743047016721,320764744931291_561890404152056,552621218208510
31,Praw Juthaporn Pattakarn Korn ชลทิศ เสมใจดี น่ากินเนอะ อิอิ,366743047016721,320764744931291_561890404152056,1091151524245283
32,Supitcha Thanapat,366743047016721,320764744931291_561890404152056,10204541258964475
33,Nuttaphon Tawee-ngern,366743047016721,320764744931291_561890404152056,10205484276973186
34,Tanatat Tatabut,366743047016721,320764744931291_561890404152056,848675441858423
35,Praew Pornsinee กุอยากกินพากุปัย,366743047016721,320764744931291_561890404152056,758080924260611
36,สรุปว่าหิวว Splaa Kh,366743047016721,320764744931291_561890404152056,307637609393207
37,Chaiwattana Khwakhong,366743047016721,320764744931291_561890404152056,779736202084992
38,ธนภรณ์ สว่างศรี เลี้ยงหน่อยย,366743047016721,320764744931291_561890404152056,821855194493588
39,Chonlatorn Inta อ้วนนนน หมูอยาก,366743047016721,320764744931291_561890404152056,10204197247625862
40,Bacharee Ch มึง กูอยากแดกอย่างงี้อะ,366743047016721,320764744931291_561890404152056,850090258369276
41,Bew Chissanupong,366743047016721,320764744931291_561890404152056,702033009918169
42,เจนนน เฮโหล,366743047016721,320764744931291_561890404152056,777452188993694
43,Tuck Zaika นี่อ่อที่เทอไปกิน55555,366743047016721,320764744931291_561890404152056,794117333967136
44,Ultraman Thailand,366743047016721,320764744931291_561890404152056,10200332843641859
45,Suriya Somboonchai ไปลองสิ,366743047016721,320764744931291_561890404152056,10204230829065431
46,Siripat Sermphang วันเกิดเค้า เดี๋ยวพาไปกินนะ,366743047016721,320764744931291_561890404152056,1453998571581686
47,Mintt Bie Sommy Roongrat,366743047016721,320764744931291_561890404152056,722638357783067
48,Oiloil Kwh อยากไปอีกกก,366743047016721,320764744931291_561890404152056,890941784270605
49,หมูห่อชีส อาร่อย ใครชอบกินแซลม่อนบอกเลยคุ้มๆ,366743047016721,320764744931291_561890404152056,764358173606596
50,ALittle Domint,366743047016721,320764744931291_561890404152056,749633935123263
51,Palmmi ChatwarinKawinthip Kamonthas,366743047016721,320764744931291_561890404152056,831715046870384
52,Belle Sukpratoom,366743047016721,320764744931291_561890404152056,907904065898834
53,Jenny Jun Sirion Pploy,366743047016721,320764744931291_561890404152056,153879728684204
54,Snookk,366743047016721,320764744931291_561890404152056,555711057898911
55,Solos Analysis ภาพปลากรอบเรียกน้ำย่อย,366743047016721,320764744931291_561890404152056,607031026071667
56,Benzii Lp จองงง !!!,366743047016721,320764744931291_561890404152056,1510082032596453
57,Thanatip Passarakul,366743047016721,320764744931291_561890404152056,536331876470583
58,Kan Dis Dissorn,366743047016721,320764744931291_561890404152056,891951044169359
59,Kasidej Chaivarasiripong,366743047016721,320764744931291_561890404152056,879384998802080
60,June Ubolrat,366743047016721,320764744931291_561890404152056,10204600589668233
61,Tae Navaphol,366743047016721,320764744931291_561890404152056,10152724722884617
62,Jirayu Pungprasert,366743047016721,320764744931291_561890404152056,706480929447790
63,Src Meen,366743047016721,320764744931291_561890404152056,815883588456668
64,Inarm Chuenhirun ว่างายยย. สายแดร็ก,366743047016721,320764744931291_561890404152056,1075037295844280
65,Node Anapat,366743047016721,320764744931291_561890404152056,818997908183576
66,ฟ้ารุ่งๆ ตอนพระอาทิตย์ขึ้น,366743047016721,320764744931291_561890404152056,767866943289503
67,Thida Kawsanit,366743047016721,320764744931291_561890404152056,163276387416744
68,Seubsiam Thaites ไปกัน ใกล้ๆเอง,366743047016721,320764744931291_561890404152056,116106932286623
69,Mint Charoenpon,366743047016721,320764744931291_561890404152056,921192114598107
70,Hataiton Say-ong,366743047016721,320764744931291_561890404152056,293226200887351
71,Laxsamee Jinda,366743047016721,320764744931291_561890404152056,761054470650851
72,แม่เลี้ยง อี๊ด,366743047016721,320764744931291_561890404152056,275047252681548
73,มาถึงล้าววว ร้านเหงามากๆ อาหารอร่อยดีนะ แต่คนซึมมากง่ะ,366743047016721,320764744931291_561890404152056,781451428557886
74,Nutty Siriluk,366743047016721,320764744931291_561890404152056,967371669958634
