,comment_body,page_id,post_id,user_id
0,ถั่วไม่ยอมแบ่งปัน ถั่วงก,366743047016721,491309534239885_1434882933215869,774724862595115
1,ลืมถั่วปากอ้า!,366743047016721,491309534239885_1434882933215869,656419227778819
2,ถั่วลิสงจ้าาาาาาลุง !!!!,366743047016721,491309534239885_1434882933215869,1518475788396174
3,ถั่วแดงแรง3เท่า,366743047016721,491309534239885_1434882933215869,10204276693974966
4,มองถั่วแดงไม่เป็นถั่วแดง สงสัยหมกมุ่นไปนะเรา ยุบหนอ พ่องหนอ,366743047016721,491309534239885_1434882933215869,810109152372751
5,ถั่วลิสงว้อยยยย,366743047016721,491309534239885_1434882933215869,1496558737268290
6,ลิสงงงงง@!!!!!,366743047016721,491309534239885_1434882933215869,796931320363692
7,ซอยมิ้ว,366743047016721,491309534239885_1434882933215869,10203672620919961
8,มีใครลืม อาเบะ ถั่วดำ ไปรึเปล่า,366743047016721,491309534239885_1434882933215869,655348251181701
9,ถ้าแพ้ถั่ว.....คงกินได้แต่ผัก ต้มผัดยำทอดหอมอร่อยในพริบตาาา,366743047016721,491309534239885_1434882933215869,913764428649796
10,กินผัก เอา,366743047016721,491309534239885_1434882933215869,903320869708248
11,เอิ่ม..ถั่วลิสง มั้ย,366743047016721,491309534239885_1434882933215869,700000876750830
12,เจ้าพวกกินเจ!!,366743047016721,491309534239885_1434882933215869,858247634198429
13,ถั่วซากุ จากดาวหางสีแดง,366743047016721,491309534239885_1434882933215869,10206918544745051
14,กินหอยนางรม,366743047016721,491309534239885_1434882933215869,163299277446187
15,กินทางปากครับไม่ได้กินทางจมูกแน่นอน,366743047016721,491309534239885_1434882933215869,1609947265890652
16,ถั่วแระ ปากเหม็นต้องมาแล้ว,366743047016721,491309534239885_1434882933215869,809237462434852
17,เน้นกินเห็ดจ้า กินจนกว่าจะตัวโตสองเท่าหรือได้ป๊อกไปเลยจ้า ไม่อิ่มให้ไปกินดอกไม้ไฟต่อน้า #แก่พอน่าจะเก็ต,366743047016721,491309534239885_1434882933215869,1056229181069207
18,ถั่วแดง แรงสามเท่า,366743047016721,491309534239885_1434882933215869,4445389989713
19,ห๊ะ!!,366743047016721,491309534239885_1434882933215869,505685522909819
20,"เคยดูรายการนึง มีคนตั้งประเด็นว่า""ถั่วแขกมาจากไหน"" พิธีกรไปสืบข้อมูลและบอกในรายการว่า
""ถั่วแขก""เป็นชื่อเรียกของไทย เดิมเรานำสายพันธุ์มาจากอินเดีย แต่พอไปสืบข้อมูลทางอินเดีย แต่อินเดียดันเรียกว่า""ถั่วอังกฤษ"" เพราะอังกฤษนำเข้ามายุคอาณานิคม พอไปสืบข้อมูลของอังกฤษ ทางอังกฤษดันเรียกว่า""ถั่วฝรั่งเศส"" คาดว่าคงนำสายพันธุ์มาจากที่นั้น แต่สุดท้ายไปถึงฝรั่งเศส คนที่นั้นเรียกมันว่า...""ถั่ว"" ตกลงสุดท้ายมันมาจากไหนฟ้ะ ผมนี้ดูรายการอยู่แทบล้มตกเก้าอี้เลย 😅😅😅",366743047016721,491309534239885_1434882933215869,748765548478750
21,ทานข้าว ผัก เห็ด ผลไม้ ปรุงรสด้วย เกลือ น้ำตาล กินแบบมินิมอล,366743047016721,491309534239885_1434882933215869,10204924780749600
22,แดกเห็ดสาหร่ายแทนมีโปรตีน,366743047016721,491309534239885_1434882933215869,120987795207977
23,ถั่วดำครับ ไม่กินถั่วก็กินได้,366743047016721,491309534239885_1434882933215869,233784053812799
24,ถั่วแซคแดง แรง 3 เท่าด้วย :v,366743047016721,491309534239885_1434882933215869,379773485524106
25,ถั่วแดงนี่มีหนวดด้วยใช่มะ,366743047016721,491309534239885_1434882933215869,10205227609672483
26,กินแป้ง กินเต้าหู้ กินสาหร่าย กินผัก ผลไม้,366743047016721,491309534239885_1434882933215869,10152426097859587
27,ถั่วแดงน่าจะกินได้ยาก มันเร็ว,366743047016721,491309534239885_1434882933215869,987475081269886
28,กินข้าวเปล่าค่ะ,366743047016721,491309534239885_1434882933215869,10202776274599264
29,เต้าเจี้ยววว เจี๊ยวมันคือน้องจุมุ!!,366743047016721,491309534239885_1434882933215869,892059687487349
30,ถือศีลกินธรรมดา....กินเห็ด...,366743047016721,491309534239885_1434882933215869,926429484039190
31,ไม่เห็นมีถั่วอ้าปากเลย,366743047016721,491309534239885_1434882933215869,10203518453817848
32,เด๋ว!ถั่วพระสงฆ์นั่นอะไร๊!,366743047016721,491309534239885_1434882933215869,851850041499963
33,เกลียดความถั่วแดง #แรง3เท่า,366743047016721,491309534239885_1434882933215869,833406296718361
34,ถั่วแดงแรงสามเท่า,366743047016721,491309534239885_1434882933215869,701905149866165
35,กินทีนทดแทนได้ ผมลองมาแล้ว ได้โปรตีนเต็มๆ,366743047016721,491309534239885_1434882933215869,735320639858008
36,ขอรูปถั่วแดงเดี่ยสๆ,366743047016721,491309534239885_1434882933215869,486473661502042
37,เต้าเจี๊ยว??,366743047016721,491309534239885_1434882933215869,1603499373204206
38,เดี่ยววววๆๆๆ ถั่วลิสงงงง,366743047016721,491309534239885_1434882933215869,837247876304533
39,อ่าามีถั่วไก่ด้วยนะ,366743047016721,491309534239885_1434882933215869,421178458231682
40,"หอยนางรมสิครับ
😄",366743047016721,491309534239885_1434882933215869,778919885478621
41,ก็ไม่ต้องกินไง,366743047016721,491309534239885_1434882933215869,753108218061330
42,แฮ่ ม่ายช่ายย นั้นมันถัวลิสง,366743047016721,491309534239885_1434882933215869,829757523754461
43,เต้าเจี้ยว ฮะ ไม่ใช่เจี๊ยว 555+,366743047016721,491309534239885_1434882933215869,894861420536441
44,กินหอยเป่าฮื้อ,366743047016721,491309534239885_1434882933215869,663755730377490
45,ส่วนอันนี้ถั่วแดงที่ไม่แรงสามเท่า,366743047016721,491309534239885_1434882933215869,1044633588886569
46,Per Pat,366743047016721,491309534239885_1434882933215869,803628106336039
47,รอกดรีพอร์ท,366743047016721,491309534239885_1430556366981859,123543444657245
48,แมวกะคนดำๆๆๆ,366743047016721,491309534239885_1430556366981859,168572820155274
49,ผู้บ่าวกินแมว?,366743047016721,491309534239885_1430556366981859,1534759976781331
50,ลุงดีทาสแมว งั้นชื่อเพจก็ต้องเป็น ลุงแม้ว,366743047016721,491309534239885_1430556366981859,163299277446187
51,ซวยชิบหายกินแมวเสือกอร่อย,366743047016721,491309534239885_1430556366981859,10203692894996504
52,เพราะแมวมันอร่อยสินะ?,366743047016721,491309534239885_1430556366981859,1481263748567640
53,เอาแบบที่มีเรือดำน้ำเยอะๆครับ,366743047016721,491309534239885_1430556366981859,10203005003743978
54,เผยโฉมหน้ามะแอ๊ว ssr,366743047016721,491309534239885_1430556366981859,10202014555194986
55,#ซวยชิบหายเสือกเกิดเป็นทาสแมว,366743047016721,491309534239885_1430556366981859,810109152372751
56,ตาจ้ำด้วยฮะ,366743047016721,491309534239885_1430556366981859,1596855003878081
57,ปรุงเเมวยังไงให้อร่อย?,366743047016721,491309534239885_1430556366981859,732698936787890
58,เอ,366743047016721,491309534239885_1430556366981859,588735798181971
59,ทำเพจแมวไม่ยากครับ นำแมวมาโรยพริก ก็เสร็จแล้ว,366743047016721,491309534239885_1430556366981859,923435384338334
60,เยอะแล้ว เพจนี้ก็ได้. เพจกินแมว 55555,366743047016721,491309534239885_1430556366981859,10152463785172810
61,มะแอว,366743047016721,491309534239885_1430556366981859,831896336889814
62,น้วยแมวยังไงให้อร่อย,366743047016721,491309534239885_1430556366981859,510146565751760
63,แมวเหี้ย,366743047016721,491309534239885_1430556366981859,862914340533108
64,ซวยชิบหายเสือกเกิดมาเป็นทาสแมว,366743047016721,491309534239885_1430556366981859,1786207834991917
65,ไข่แมว?,366743047016721,491309534239885_1430556366981859,737591916331503
66,ชิบหาย แมวเสือกอร่อย????,366743047016721,491309534239885_1430556366981859,961408390553219
67,แมวล้าว = มาวแล้วววว,366743047016721,491309534239885_1430556366981859,10152096153276366
68,อาหารจากแมวหรอ,366743047016721,491309534239885_1430556366981859,851639228183701
69,,366743047016721,491309534239885_1430366870334142,909801519035871
70,คุณมรึงมาได้อย่างไร ?? 5555,366743047016721,491309534239885_1430366870334142,302829269900520
71,ทำไมเราหิว,366743047016721,491309534239885_1430366870334142,132645350525956
72,ถ้าตอนนั้น ตือโป๊ยก๋าย ยอมสละชีพตัวเองเพื่อทีม เราคงได้กินคอหมูย่างเป็นอาหารเจละ 🤔,366743047016721,491309534239885_1430366870334142,10203603084032126
73,เว้นได้ตั้งหลายอย่างเว้นหอยนางรมไว้บ้างก็ได้จ้าถ้าใครเคร่งจิงๆ,366743047016721,491309534239885_1430366870334142,936676106344517
74,มันเป็นอาหารความเชื่อน่ะ ไม่ใช่ว่าละเว้นสิ่งมีชีวิต,366743047016721,491309534239885_1430366870334142,600743966686734
