,comment_body,page_id,post_id,user_id
0,น่ากินมากกกกเลย,366743047016721,600475487009484_614954928894873,1064012413613746
1,น่าลองทำดูคับวันหยุด,366743047016721,600475487009484_614954928894873,333267850167934
2,Nannaphat Boonmaน้ำลายไหล,366743047016721,600475487009484_614954928894873,744455535670071
3,Yingaor Moto Heavenz เมื่อไรจะได้กินจ้ะเทอ555,366743047016721,600475487009484_614954928894873,896598617051532
4,Sophida Bee จัดกัลไหมวันนี้5555,366743047016721,600475487009484_614954928894873,1098431400293136
5,น่าลอง,366743047016721,600475487009484_614954928894873,200396863830201
6,Teerapong Siriboon 🤓🤓🤓,366743047016721,600475487009484_614954928894873,924361630962011
7,น่ากินจัง,366743047016721,600475487009484_614954928894873,149558882446797
8,Katiboo Promsowan,366743047016721,600475487009484_614954928894873,803560613000215
9,เห็นแล้วหิวเลยค่ะ,366743047016721,600475487009484_614954928894873,599107050206516
10,Nwn Duengjun,366743047016721,600475487009484_614954928894873,1568595423355049
11,Noo-mam AucharaPokza NunarakWeerapon WanikomSupakit Vijitwongกูเบิร์ด บินเดี่ยว วันไหนดี,366743047016721,600475487009484_614954928894873,1752990981592185
12,Tanyaporn Rattanapal คุ่บ้มๆ,366743047016721,600475487009484_614954928894873,710610715701765
13,ป๋า'แนน เซอ เซอหิววว555เปย์หน่อยยย,366743047016721,600475487009484_614954928894873,292883871182371
14,เนส,366743047016721,600475487009484_614954928894873,187348471837974
15,ตาแซ่บ,366743047016721,600475487009484_614954928894873,141151996514628
16,หัวเท่าไหร่คะ,366743047016721,600475487009484_614713318919034,859337450805240
17,Wayuu Khanthula,366743047016721,600475487009484_614713318919034,109323659400422
18,โอ้ยหิวเลย,366743047016721,600475487009484_612828169107549,289992594849240
19,Warit Sampaonon,366743047016721,600475487009484_612828169107549,729772040472498
20,เดี๋ยวต้องเจอน้ำยาเจ้อั้ม ณ ร้านดาวเพรช ของฝากของศรีเกษ Aum Pannapas,366743047016721,600475487009484_612828169107549,10205882616534786
21,โอ้ยอยาก,366743047016721,600475487009484_612828169107549,116602278998056
22,Pradit Wongsa,366743047016721,600475487009484_612828169107549,483074248718101
23,ละอองดาว ครึ่งธิ,366743047016721,600475487009484_612828169107549,499630676862344
24,"แอด จะบอกว่าตีนไก่นิ่มมากกก
กระดูกแทบจะละลายในปาก",366743047016721,600475487009484_612828169107549,600475487009484
25,โอ๊ยหิว Pook Preechawong,366743047016721,600475487009484_612828169107549,189323944843001
26,Napat Chaอยากกิน อ่ะเจ้,366743047016721,600475487009484_612828169107549,997402780275559
27,มากินสิจ๊ะ อยุ่บ้านนะวันนี้ จ. จู จู,366743047016721,600475487009484_612828169107549,10202657057426149
28,กูอดสิน่ะจ. จู จูNapat Cha รอด้วยดิ,366743047016721,600475487009484_612828169107549,428951064106361
29,Louis Boontaeng  รอบนี้จะได้กินม่ะ,366743047016721,600475487009484_612828169107549,1528406544103863
30,หิวเลย,366743047016721,600475487009484_612828169107549,689648664482050
31,ไอฝ้าย รุ่งโรจน์นิรันดร์,366743047016721,600475487009484_612828169107549,879557455418007
32,Patchariya Sriharmoon Filmmzc Rungrueangrit ร้านป้าแตนจะมีป่ะวะ แหมาก,366743047016721,600475487009484_612828169107549,621165671326010
33,อยากทำกิน แต่ทำไม่เป็น,366743047016721,600475487009484_612828169107549,1614165902159744
34,Angle Sung Bcp Crayfish 😋,366743047016721,600475487009484_612828169107549,482722222097284
35,โอ้ยน้ออยากตีน,366743047016721,600475487009484_612828169107549,130906910980850
36,Reindeer Izอยากเลย,366743047016721,600475487009484_612828169107549,583380735129213
37,จะน่าทานอะไรขนาดนี้คะ..ซี๊ดดดเลย😁😁,366743047016721,600475487009484_612828169107549,203426996681358
38,นภสร บุขุนทด,366743047016721,600475487009484_612828169107549,829737553718216
39,Jin Promkaan พี่ลัยยยยยย,366743047016721,600475487009484_612828169107549,760592054031919
40,หิวคับ Wat Tasala,366743047016721,600475487009484_612828169107549,156059318240151
41,มีความอยาก,366743047016721,600475487009484_612828169107549,315794181901199
42,โอ้ย อยากกิน,366743047016721,600475487009484_612828169107549,158189541316176
43,มาดูตอนนี้นะฆ่าฉันเถอะ,366743047016721,600475487009484_612828169107549,10202342928494920
44,น่ากินมากๆ,366743047016721,600475487009484_612828169107549,152211475386414
45,แก๊งค์กี้ รถเก่าเมืองพิมาย,366743047016721,600475487009484_612828169107549,181613882271787
46,Nutcha Hassadeevichit,366743047016721,600475487009484_612828169107549,829283350468186
47,น่ากิน,366743047016721,600475487009484_612828169107549,119150708779925
48,เซียนรด ธรรมดาที่ไหน,366743047016721,600475487009484_612828169107549,802948949743244
49,ยุที่ไหนคะ,366743047016721,600475487009484_612828169107549,171619080014198
50,Fongdao Suwannasing นี่ๆ,366743047016721,600475487009484_612828169107549,795288370552424
51,Papon Saisaengchan,366743047016721,600475487009484_612098852513814,215215555675843
52,โบว์ ศุภาภร,366743047016721,600475487009484_612098852513814,1738128346411616
53,Dz'Kaow Mayuree,366743047016721,600475487009484_612098852513814,198859517183894
54,Min MinPatcharin Sombatsri,366743047016721,600475487009484_612098852513814,10152652891940446
55,Apapan Duksukkaew,366743047016721,600475487009484_612098852513814,10203260949470322
56,น่ากินจังค่ะ,366743047016721,600475487009484_612098852513814,386635945063508
57,มาอะไรตอนนี้ 2 ทุ่มกว่าแย้วววววว,366743047016721,600475487009484_610722452651454,1396548857310539
58,Supattra Chamnanphol YN,366743047016721,600475487009484_610722452651454,134176290441841
59,หน้ากินว่างจะลองทำบ้าง,366743047016721,600475487009484_610722452651454,126985274607432
60,Waraporn Photmakเด้อ,366743047016721,600475487009484_610722452651454,850694391621579
61,อยากกินแบบนี้ๆ Mild Sathit,366743047016721,600475487009484_610722452651454,769735369758920
62,Nut Prajit,366743047016721,600475487009484_610722452651454,127039584532614
63,Nuttawan Butnian,366743047016721,600475487009484_610722452651454,118699985447507
64,Ku Pie,366743047016721,600475487009484_609930839397282,121390141919289
65,,366743047016721,600475487009484_609930839397282,1571135779814975
66,"🎉🎉🎉ขออนุญาติฝากร้านค่ะ🎉🎉🎉

สนใจสอบถามเข้ามาได้นะจ๊ะ...",366743047016721,600475487009484_609707046086328,1571135779814975
67,Best Yongyuth,366743047016721,600475487009484_609699122753787,1544572565870516
68,Thanita Loaramthaveethong plzzz,366743047016721,600475487009484_609699122753787,1097641573585126
69,"ขออนุญาตแอดมินนะคะ...
สนใจสอบถามได้จร้า",366743047016721,600475487009484_609699122753787,1571135779814975
70,Nilexury Pirawan กินมั้ยพน.ทำให้กิน,366743047016721,600475487009484_609699122753787,1752627784961404
71,Ladalad Susen อ้วน,366743047016721,600475487009484_609699122753787,1537811866454250
72,,366743047016721,600475487009484_609699122753787,257805011277695
73,,366743047016721,600475487009484_609699122753787,229324890779409
74,"Kitsanachai Rolla กานต์ธิดา ออยล์'
ลองทำบ่น่าจิอร่อยยย",366743047016721,600475487009484_609699122753787,239973866436118
75,ทำหั้ยกินหน่อย,366743047016721,600475487009484_609699122753787,1419069651747318
76,Phumrapee Saengthong,366743047016721,600475487009484_609699122753787,1428454810793748
77,Tawan Cheankrathok,366743047016721,600475487009484_609699122753787,146779475653007
78,แบงค์ พันทอง โสมงกินมั้ยหมา,366743047016721,600475487009484_609699122753787,1011452142234454
79,ดีจังเลย,366743047016721,600475487009484_608917592831940,1396548857310539
80,อยากกินน่ะ,366743047016721,600475487009484_608917592831940,144339106203834
81,Phanthakarn Wongpipatpan,366743047016721,600475487009484_608917592831940,885515798131606
82,มีความยาก,366743047016721,600475487009484_608917592831940,334822036722117
83,น่ากินจัง,366743047016721,600475487009484_608917592831940,137008526881753
84,สุดยอด,366743047016721,600475487009484_608754222848277,573568942794214
85,สรรหาแต่ของกินนะ,366743047016721,600475487009484_608754222848277,149785242431999
86,Kovit want eat,366743047016721,600475487009484_608667406190292,1488211624801667
87,ปิยะนุช การถาง น้ำลายแตกก,366743047016721,600475487009484_608667406190292,494007554074668
88,แอดหิว ใครใจดีเลี้ยงแอดบ้าง,366743047016721,600475487009484_608667406190292,600475487009484
89,กิ่ง 'ง เครซรี่เขายากแบบนี้,366743047016721,600475487009484_608667406190292,1492834280977019
90,ไปตลาดกัน,366743047016721,600475487009484_608667406190292,1382610568734800
91,Kit Singkam,366743047016721,600475487009484_608667406190292,826859717370972
92,Naruemon Kaosongtham,366743047016721,600475487009484_608667406190292,591367374336561
93,Min Thanatporn,366743047016721,600475487009484_608667406190292,243043986036902
94,Natsuda Neamsawat,366743047016721,600475487009484_608667406190292,10200842137132241
95,พี่แสตมป์ กับ น้องสตาร์ท อยากแปลบๆ,366743047016721,600475487009484_608667406190292,934681869917760
96,บีม' มิ. หิววว,366743047016721,600475487009484_608667406190292,154410705296733
97,"Chompool Lasard
Birddog Kanoksak",366743047016721,600475487009484_608667406190292,211146859396551
98,Daw Nasingkun,366743047016721,600475487009484_608667406190292,968755919806832
99,ចង់ញាំុណាស់,366743047016721,600475487009484_608667406190292,108288523196413
100,แนน ทิภาพร น้ำลาย,366743047016721,600475487009484_608667406190292,660062347446031
101,คิด ตี้,366743047016721,600475487009484_608667406190292,607414979372937
102,ยิ้มกว้างงง กว้างงงงงใกล้บ้านสุดๆ,366743047016721,600475487009484_608667406190292,899556866755937
103,Patzy Tse,366743047016721,600475487009484_608667406190292,567404100027890
104,Ping Vilasinee,366743047016721,600475487009484_608667406190292,372553063114220
105,เปนตาแซ่บ,366743047016721,600475487009484_608667406190292,1382025802090394
106,Chaiwat Punyawong,366743047016721,600475487009484_606145709775795,737570729663165
107,สนจันมีแฟนชายไหมคะ,366743047016721,600475487009484_606145709775795,1520043564937409
108,Sunisa Tohsaman,366743047016721,600475487009484_606145709775795,750672651669154
109,อออ่าง สระอาร์,366743047016721,600475487009484_606145709775795,753869351327185
110,Anongnart Sermsiri ฝากซื้อที 😋,366743047016721,600475487009484_606042963119403,10203608802406893
111,Sutthipong Pkพาไปสุรินท์หน่อย,366743047016721,600475487009484_606042963119403,120559195125532
112,Juthamart Rattanakarn,366743047016721,600475487009484_606042963119403,776468022425428
113,Khunanon Buaphan,366743047016721,600475487009484_606042963119403,236304040123746
