,comment_body,page_id,post_id,user_id
0,Bofie Suparath Srithongma,366743047016721,218892821565212_1413971108724038,374971902652601
1,Beww Marisa,366743047016721,218892821565212_1413971108724038,10152252843663101
2,ไปกัน Kristino Boonyasub,366743047016721,218892821565212_1413971108724038,10153040208999994
3,JPun Locketเธอๆ,366743047016721,218892821565212_1413971108724038,915073631842342
4,Tong Ja ทางของเราเลย Salt&Pepper,366743047016721,218892821565212_1413971108724038,680601208665406
5,Jewly Mccaine,366743047016721,218892821565212_1413971108724038,1083007225177641
6,Thansita Kat Lee,366743047016721,218892821565212_1413971108724038,10154179996125694
7,Satsavas Sukyu Mayday Saravalee,366743047016721,218892821565212_1413971108724038,10200993086828486
8,Paula Mushroom นี่ไ,366743047016721,218892821565212_1413971108724038,738582249497910
9,Sornluck Soluck,366743047016721,218892821565212_1413971108724038,10152844820783837
10,Motto Ruttanakidrungruang ออกเวรกี่โมง เรียกมิวมสกินด้วย,366743047016721,218892821565212_1413971108724038,10202703414362772
11,Tungmae Truvichien ว่างวันไหนเรียกมาด้วย 5556,366743047016721,218892821565212_1413971108724038,694499637273925
12,Monmanas Khun,366743047016721,218892821565212_1413971108724038,871046106247058
13,Lingling Naka,366743047016721,218892821565212_1413971108724038,10153356293990558
14,Bhanimais Eakvaranitirom,366743047016721,218892821565212_1413971108724038,10203488759044056
15,Thanawist Thongkhao,366743047016721,218892821565212_1413971108724038,773825732711411
16,Saksit Ingsuwat ตามนี้เลยเด้อ,366743047016721,218892821565212_1413971108724038,1110205378995925
17,Kaj Kulchanarat pleaseeeeeeee,366743047016721,218892821565212_1413971108724038,10152790981958375
18,Pun Kasidis,366743047016721,218892821565212_1413971108724038,10153268086379816
19,เชฟอากิระ หรือเปล่าครับ?,366743047016721,218892821565212_1413131872141295,10152545717659375
20,ว้าวววว,366743047016721,218892821565212_1406608562793626,10152960454478028
21,ยินดีร่วมกิจกรรมนี้ค่ะ..โดยปกติใช้ทานหรือให้ลูกค้าอยู่แต่ยังไม่เคยลองทานของทางคุณค่ะ,366743047016721,218892821565212_1406718339449315,361524900984111
22,อู้หูววววววว อยากกกกกกกเลย,366743047016721,218892821565212_1405794399541709,814266511934757
23,น่าลองงง,366743047016721,218892821565212_1405794399541709,10154248420625456
24,Foei Nimmanterdwong Natcha Kosanyawat,366743047016721,218892821565212_1405794399541709,10154550397575545
25,Jinny Nimityongskul,366743047016721,218892821565212_1405794399541709,600035930102659
26,Nuchy Noodle สนไหม,366743047016721,218892821565212_1399550303499452,10152423128177271
27,Chompoo Pj,366743047016721,218892821565212_1399550303499452,10154755677415075
28,Orm Cho,366743047016721,218892821565212_1399550303499452,1085528848131987
29,Thien Srikasikul Rudh Srikasikul  ไปป่าว,366743047016721,218892821565212_1399550303499452,760627190639756
30,Chanyaporn Choksathitkul หมูมั้ย,366743047016721,218892821565212_1390909881030161,817123388326135
31,Keriant Antkeri WanWan LovelyCat Nic Prapanroj ปะๆ,366743047016721,218892821565212_1390909881030161,10152939219733377
32,Siripa Jantabon,366743047016721,218892821565212_1390909881030161,957336710962242
33,Nham Noonpakdee,366743047016721,218892821565212_1390909881030161,748916051882347
34,Palm Apinya,366743047016721,218892821565212_1380984388689377,10152957994267966
35,Rattawich Khantimuninan Paisarn Thongkhao เค้าเพิ่มเมนูใหม่แล้วนะครับ เผื่อจะเบื่อส้มตำแล้วกลับมาใช้บริการ Pizza Company ครับ,366743047016721,218892821565212_1379757645478718,10152811617610813
36,Toto Nithitโอเค 555เผื่อเบื่อส้มตำ,366743047016721,218892821565212_1379757645478718,882818628403096
37,Pobploy Nathan Wattanakrai น่ากิน,366743047016721,218892821565212_1379757645478718,986158151399181
38,Thongtanawat Heart,366743047016721,218892821565212_1379757645478718,796717907058959
