,comment_body,page_id,post_id,user_id
0,วันถ่ายไปกินกัน Amanda Chalisa Obdam New Chayaporn,366743047016721,960782227349574_1535027806591677,459565337522668
1,Weisi Wong,366743047016721,960782227349574_1535027806591677,10152044011127043
2,Charinya Rujirawanakul,366743047016721,960782227349574_1522013361226455,916545075028556
3,Pang Apikusalophakorn พรุ่งนี้.กินกัน,366743047016721,960782227349574_1522013361226455,627104134041174
4,Cartoon Ptm,366743047016721,960782227349574_1522013361226455,973858425978143
5,Pinyada Traiyakhant,366743047016721,960782227349574_1505587889535669,660218254089562
6,เห้ยยยย น่าลองเด้ดดดดด,366743047016721,960782227349574_1505587889535669,771056752957236
7,Surasri Akarachotesiri,366743047016721,960782227349574_1505587889535669,700268506731465
8,Art Sedtasenee Tantanarat,366743047016721,960782227349574_1505587889535669,397501263721383
9,Aom Thitita,366743047016721,960782227349574_1505587889535669,475570229268617
10,Hataiporn คะแนน งุ้ย,366743047016721,960782227349574_1505587889535669,10203386741133637
11,Jang Jnsr,366743047016721,960782227349574_1505587889535669,728430633908949
12,อยากกินBenns Pongwachirint,366743047016721,960782227349574_1504718872955904,10203758288021794
13,โห! น่ากิน,366743047016721,960782227349574_1502308386530286,763439883702735
14,Aneane Techawutichai Soraya PraewEnuelle Kong พาไปเซเว่นหน่อย,366743047016721,960782227349574_1498787256882399,10152761894307595
15,Merp Attapol,366743047016721,960782227349574_1498787256882399,1061467477218049
16,Gamsai Phannathron,366743047016721,960782227349574_1478740928887032,835103963218462
17,Naphatsawan Janrak,366743047016721,960782227349574_1478740928887032,842767125774942
18,Peerasit Surarueangchai giewww,366743047016721,960782227349574_1478740928887032,10151982321797134
19,Pantipa Khawkrajang. งืมมมม,366743047016721,960782227349574_1478740928887032,825672260855564
20,Porpalm Palm อยากกินนนน,366743047016721,960782227349574_1478740928887032,687897567976267
21,May Naruemol,366743047016721,960782227349574_1478740928887032,754507464592511
22,Nutchapon Nontiskul,366743047016721,960782227349574_1478740928887032,10154371672936803
23,Karnsinee Trongkitviroch Jintawee Srijan,366743047016721,960782227349574_1478740928887032,360521577665620
24,อร่อยจริงค่ะ เข้ากันพอดีเลย 😘,366743047016721,960782227349574_1461027673991691,763439883702735
25,เอามากิน,366743047016721,960782227349574_1450178161743309,827452690661908
26,Vikanda Tacharittikrai,366743047016721,960782227349574_1430919870335805,10153527526807067
27,Kaopann Chunlakittiphan พาโบลมีน้ำแข็งไสด้วย😲,366743047016721,960782227349574_1409172542510538,10200147733012060
28,Woralapa VeryNoww BenyathipCaptains Anurak มีทีาเวสเกตนะแท็กเฉยๆไม่ได้อยากเท่าไร,366743047016721,960782227349574_1401459356615190,974492475924205
29,Pimjam UdonboonNartthisa Sooksawat,366743047016721,960782227349574_1401459356615190,360521577665620
30,Jube HR,366743047016721,960782227349574_1380383292056130,10207460583818743
31,Kanyarat Chaithanakawin,366743047016721,960782227349574_1380383292056130,10154778555600538
32,Pachara Sangsomporn,366743047016721,960782227349574_1380383292056130,10205503644580850
33,Pavinee Ice,366743047016721,960782227349574_1380383292056130,617917951668309
34,Mukpailin Wongmanee Jutarat Hongkhu,366743047016721,960782227349574_1380383292056130,957819334272793
35,Nam PhattarinKotchakorn KaewbutWipawee JitsereeToey WrdNew BaekhyunFahh Pimvadeeพิชญ์ชาดา แผงฤทธิ์,366743047016721,960782227349574_1380383292056130,1573678362846764
36,Hattakan Loysawai,366743047016721,960782227349574_1380383292056130,738980719488617
37,Parn Pavinadol,366743047016721,960782227349574_1380383292056130,977221108994733
38,Kanawat Chuenjaicham,366743047016721,960782227349574_1380383292056130,959407480737565
39,Kandis Sanitwong Na Ayudhaya,366743047016721,960782227349574_1380383292056130,731334616961536
40,Prakasit Prawatloetrak,366743047016721,960782227349574_1380383292056130,10203806889588535
41,Friend Sriranie ที่รัก,366743047016721,960782227349574_1380383292056130,771464476234122
42,Smo MarkmaitriMind PreamthongJirapa Mint,366743047016721,960782227349574_1380383292056130,10202412150047202
43,Odee Somritjinda,366743047016721,960782227349574_1380383292056130,905842646124620
44,Nuttawut Nut,366743047016721,960782227349574_1380383292056130,947876711920967
45,Jeen!!!!!,366743047016721,960782227349574_1380383292056130,877410252320494
46,Tanatikarn Tntk ร้านนี้แทน,366743047016721,960782227349574_1380383292056130,814998858559351
47,Khattiyaporn Boonnin😍😍,366743047016721,960782227349574_1380383292056130,814998858559351
48,,366743047016721,960782227349574_1380383292056130,745550825536690
