,comment_body,page_id,post_id,user_id
0,เทอๆ เหมือนที่นี่เกิดมาสำหรับเราเลยอ่ะ Aumaim Iing Pavinee,366743047016721,387766624666267_1376755972433989,714902358563607
1,Maya Kang near my house ahhh narak mai,366743047016721,387766624666267_1376755972433989,757584920929634
2,Dada Numuy อยากไปร้านนี้มารับไปกินหน่อยยยย พาพี่อินทรีย์ไปด้วน ชายปริ้นท์ไปด้วย😂 อ้อนๆๆๆๆ น๊ะนะๆๆๆ,366743047016721,387766624666267_1376755972433989,826721237339461
3,Arum Bank Thanapattrawong มาอีกร้านแล้วว ไม่รู้จะไปไหนดี เยอะเกิน 😌😌,366743047016721,387766624666267_1376755972433989,848739778522998
4,Nookiie Kachamasทิตย์หน้า แมวไม่อยู่ หนูอย่างเราก้อจัดสิคับ!!,366743047016721,387766624666267_1376755972433989,10153317832644614
5,Khunanon Intharachalit อ๊กๆๆๆๆ ไม่ไกลเท่าไหร่หนา ไหนจะบุฟเฟ่แถวบ้าน ค่อยๆไปเนาะ555,366743047016721,387766624666267_1376755972433989,10203664420394136
6,Jup Jin ใกล้บ้านสาดด,366743047016721,387766624666267_1376755972433989,10203004365930815
7,Christine Pronske - next place to try out? :) next to Good Vibes,366743047016721,387766624666267_1376755972433989,10153103477371774
8,Lucky Supaluck อ่ะร้านใหม่ อยู่หลังgoodvibesเลย เจ้าของเดียวกัน,366743047016721,387766624666267_1376755972433989,884429744912847
9,Kumakan Kann สีจมออนแหมแล่วเด้ออออ,366743047016721,387766624666267_1376755972433989,10204519491561174
10,Aii Ti อยากไปไหม ไปด้วยกัน,366743047016721,387766624666267_1376755972433989,977610722254242
11,พาไปหน่อย 마애,366743047016721,387766624666267_1376755972433989,1114134508602890
12,ParamuttaKorn Daoruang พาเมียไปเด่วนี้ ของหวานเยียวยาทุกอย่าง,366743047016721,387766624666267_1376755972433989,859692330731873
13,Bee Athicha แถวบ้านเลยย เอากล้องกลับมาด้วย,366743047016721,387766624666267_1376755972433989,844640072254959
14,พิม พิม อยากมีแบบนี้สักร้านมั้ย,366743047016721,387766624666267_1376755972433989,389769397849889
15,Crab Pun ใกล้บ้านมากเว่อ,366743047016721,387766624666267_1376755972433989,10204519491561174
16,ก็ หนุ่ย ที่ใหม่ ที่ใหม่,366743047016721,387766624666267_1376755972433989,712092072201852
17,Bvse Uglychild ยอโบ คาจา ซาจิ่นจูเซโย~,366743047016721,387766624666267_1376755972433989,701994673191017
18,บุญ แบงค์ อ้วนเค้าอยากไป,366743047016721,387766624666267_1376755972433989,1032525216774543
19,สวยงามมากๆคะ,366743047016721,387766624666267_1376755972433989,160128961006829
20,Jaa Wilanda สนใจมั้ยค้าาาาาา,366743047016721,387766624666267_1376755972433989,713443465404430
21,Llt Pyr อันนี้เหรออ น่าไปปป,366743047016721,387766624666267_1376755972433989,305341399853070
22,อยากไปอ้ะ 😀😀,366743047016721,387766624666267_1376755972433989,960198827343200
23,Nu Lin,366743047016721,387766624666267_1376755972433989,205220439648379
