,comment_body,page_id,post_id,user_id
0,Fai Huttagornviriya Benz Preawpan ไปลองชิมดูจิ,366743047016721,266497693552828_744949435707649,10152754498953810
1,แท็กตอนหิวๆ 55555,366743047016721,266497693552828_738688416333751,914539208607191
2,บอกแล้วไงว่าชื่อแจนไม่ใช่แจง ถ้าเรียกผิดอีกจะฟ้องพ่อแล้วนะ,366743047016721,266497693552828_738688416333751,1336398333071623
3,Benz Chittapun หือออ,366743047016721,266497693552828_738688416333751,765872303450096
4,Bush Kyt,366743047016721,266497693552828_738688416333751,847001882019291
5,Benz Preawpan Fai Huttagornviriya,366743047016721,266497693552828_738688416333751,10152754498953810
6,Warangkana M EM,366743047016721,266497693552828_738688416333751,741428505906085
7,Best Guntapon,366743047016721,266497693552828_738688416333751,114071499346448
8,"ขออนุญาติฝากร้านครับ
♨️♨️♨️ทางนี้จ้าๆ อัลมอนด์ ตูเล (ขนมเบื้องฝรั่งเศส) 
ราคาถูกจ้า ทั้งขายปลีกเเละขายส่ง อร่อยหอมเนยนม แป้งบางกรอบ ละลายในปาก กรุบกรอบด้วยอัลมอนด์สไลด์ อร่อยถูกปากเเน่นอนจ้าา 

🍞มีหลายรสชาตินะครับ🥐 
🥖ออริจินัล
🥖ชาเขียว
🥖ช็อคโกเเลต
🥖สตอเบอร์รี่
🍴เเนะนำสินค้าขายดี ""รสออริจินัล""

🍽กระปุกเล็ก 39
🍽กระปุกกลาง 199
🍽กระปุกใหญ่ 289
🌐ส่งลงทะเบียนและems ทั่วประเทศ 
🌐นัดรับม.เกษตร
👉👉👉👉สนใจinboxได้จ้า

สนใจขนมอื่นๆ 🎉🎉 https://www.facebook.com/Sanackme/",366743047016721,266497693552828_738688416333751,1527626237493077
9,Mackie Mac,366743047016721,266497693552828_738688416333751,10152413893566176
10,Chawin Lumyongsathien,366743047016721,266497693552828_738688416333751,1149103121771923
11,วิว ชัดชัด',366743047016721,266497693552828_738688416333751,743901459012833
12,Pm Lisa,366743047016721,266497693552828_738688416333751,10152662537738843
13,Nat Namsamut,366743047016721,266497693552828_738688416333751,765299220215389
14,Pitchaya Supanurak,366743047016721,266497693552828_738688416333751,828769333824075
