,comment_body,page_id,post_id,user_id
0,น่ารักมากค่ะ อ่านไปยิ้มไป,366743047016721,161818843843444_1904900722868572,10152707051376052
1,น่ารักมากๆ ชอบภาพประกอบจัง,366743047016721,161818843843444_1904900722868572,191554607964759
2,ยิ่งอ่านก็ยิ่งคิดถึงพ่อค่ะ,366743047016721,161818843843444_1904900722868572,697086570388891
3,Tuck Napat,366743047016721,161818843843444_1902069813151663,535233773253243
4,Baitoey Wongthip,366743047016721,161818843843444_1902069813151663,10203273254057522
5,รูปสวยเพราะคนสวยจีๆ กล้องเป็นรอง ^^,366743047016721,161818843843444_1902069813151663,10205373690403949
6,Tosia Boonsiri แบบนี้ดีไหมคุน,366743047016721,161818843843444_1902069813151663,10201998354431473
7,ภาพสวยมากค่ะน้องออน,366743047016721,161818843843444_1902069813151663,10152295072106504
8,ใช้แอ๊ฟช่วยแต่งไหมค่ะ สวยมากถ้าให้สอนหนูด้วย อ้ายติดตามๆ,366743047016721,161818843843444_1902069813151663,321241978350987
9,ภาพสวยมากค่ะ,366743047016721,161818843843444_1902069813151663,628173293931160
10,ปรับสีรูปยังไงเหรอคะ สวยจังเลยย,366743047016721,161818843843444_1902069813151663,10205361655614591
11,รูปสวยค่ะ,366743047016721,161818843843444_1902069813151663,689145907810464
12,TheThee Comfortable,366743047016721,161818843843444_1902069813151663,670737483015407
13,น่ารักที่สู้ดดดด,366743047016721,161818843843444_1902069813151663,1010893878938626
14,พี่เล็งๆเลนส์นี้อยู่ อยากซื้อแต่ก็คิดมาพักนึงละ 5555 ดูจากรูปน้องออนแล้ว สวยมากกก ละลายหลังดีงาม แต่ราคาก็นะ ฮืออ😅,366743047016721,161818843843444_1902069813151663,10207386973902267
15,รอๆ รีวิวนะคะ,366743047016721,161818843843444_1902069813151663,334494663406216
16,รอดูรีวิวนะคะ ☺️,366743047016721,161818843843444_1902069813151663,764987723582214
17,เลนส์ดี ชีวิตดีค่ะ,366743047016721,161818843843444_1902069813151663,10153723358143306
18,Umpika Pinij ทริปต่อไป ไม่ต้องห่วงเฟนเด้อ,366743047016721,161818843843444_1898956773462967,10153856234482840
19,ห้องกว้างขนาดไหน ซิดนีย์ก็ยังมานอนใต้เตียง 😄😄,366743047016721,161818843843444_1898956773462967,538776776265591
20,Tid Leungaram,366743047016721,161818843843444_1898956773462967,10152324782752816
21,ซิดลูกกก ทำไมหนูไม่ไปนอนบนเตียงแบบพี่แพ,366743047016721,161818843843444_1898956773462967,866687503374263
22,ดีกว่าตอนพี่ทาโร่เนอะ อันนั้นไม่มีห้องน้ำในตัวเลยสักห้องเดียว,366743047016721,161818843843444_1898956773462967,584655344981936
23,แมวน้อย,366743047016721,161818843843444_1898956773462967,106453476781692
24,น่ารัก,366743047016721,161818843843444_1898938276798150,704431259677146
25,Pan Wanassanan เอลจะเอาแบบนี้!!! 😆,366743047016721,161818843843444_1898938276798150,10202891611082764
26,ว่านอนสอนง่ายSadaharu Ner,366743047016721,161818843843444_1898938276798150,110793112586511
27,Tete'tytiietee Yeahh หน้ามันดูเกรงๆมะ 555555555,366743047016721,161818843843444_1898938276798150,10200217561318093
28,เรติน่าเป็นแบบนี้มั้ย Ratcha Tida,366743047016721,161818843843444_1898938276798150,10203114085964746
29,กลับมาที่แพรและซิด555,366743047016721,161818843843444_1898938276798150,583966341707001
30,Beam Beam Khamrangsee,366743047016721,161818843843444_1898938276798150,10204995902470847
31,,366743047016721,161818843843444_1898938276798150,1040369592725691
32,Kapook Busaya,366743047016721,161818843843444_1898938276798150,877096308989690
33,桐ヶ谷 たけし,366743047016721,161818843843444_1898938276798150,995388490477866
34,Deer Aon,366743047016721,161818843843444_1898938276798150,813185962077166
35,Maturot Phuangchan,366743047016721,161818843843444_1898938276798150,347592212071543
36,ตาแป๋วตลอดคนนีั,366743047016721,161818843843444_1898938276798150,138994963275564
37,TheThee Comfortable,366743047016721,161818843843444_1898938276798150,670737483015407
38,มี,366743047016721,161818843843444_1895344457157532,584655344981936
39,,366743047016721,161818843843444_1895044887187489,106453476781692
40,,366743047016721,161818843843444_1895044887187489,1040369592725691
41,,366743047016721,161818843843444_1895044887187489,818196821602726
42,ดีงาม รอชมคร้า,366743047016721,161818843843444_1895044887187489,120738121694778
