,comment_body,page_id,post_id,user_id
0,เมื่อไหร่ที่บ้านเราจะกำเนิดแบบนี้ซักที ขอที่นั่งซดมาม่าก็ยังดี 55+ MaDan หมูอ้วน,366743047016721,1723496894570900_1974952409425346,1153121351369720
1,Go Teerada Sintuwong,366743047016721,1723496894570900_1974952409425346,450571928416356
2,Raweevan Sawasraksa มาอีกแนว,366743047016721,1723496894570900_1974952409425346,10153070664244605
3,Areerat KhlaivijitLalil Yoosutha ไปมะ ดูรุปให้จบ 555,366743047016721,1723496894570900_1974952409425346,10202340320428058
4,การตลาดดีมาก... ถ้าเปิดแบบนี้ทั่วกรุงเทพ เซ่เว่นอาจมีผลกระทบได้ 🤔,366743047016721,1723496894570900_1974952409425346,10205283851751547
5,Eakkaruk Tanacharoenpisarn Nannie Ch Phorranapiti,366743047016721,1723496894570900_1974952409425346,873442542686376
6,แถวบ้าน กน KooKai Kalookookai,366743047016721,1723496894570900_1974952409425346,980648085284230
7,Paradi Utamoteแถวบ้านโจอ่ะ,366743047016721,1723496894570900_1974952409425346,1108428092574683
8,สมวน น้ำคำ ป๊อป. คอร์น,366743047016721,1723496894570900_1974952409425346,497771960427674
9,Jirayus Phuangruangesriอยากไปปปปป,366743047016721,1723496894570900_1974952409425346,10152960898576264
10,Bell Kitsana พลาดไม่ได้555,366743047016721,1723496894570900_1974952409425346,170593936749379
11,Natnicha Bua สาขานี้ดีจิง,366743047016721,1723496894570900_1974952409425346,910977018914243
12,Jiradech Wasutaweesin Boboe Wisansx,366743047016721,1723496894570900_1974952409425346,906292606049151
13,Ekkalak Tongkarn ไปกินโอเด้งกันนน,366743047016721,1723496894570900_1974952409425346,10202844935194710
14,Surongkr Raw พาไปโหน่ยยย,366743047016721,1723496894570900_1974952409425346,929255390442884
15,Kung Lovesh ใกล้ป่ะ ไปลองใช้บริการนะ,366743047016721,1723496894570900_1974952409425346,10152203919678339
16,Kanok Ployอันนี้ดีที่สุดละ,366743047016721,1723496894570900_1974952409425346,1817313705160387
17,Pong Skuntanaga ดีมากค่า,366743047016721,1723496894570900_1974952409425346,10154196033970207
