,comment_body,page_id,post_id,user_id
0,Jaruthat Tancharoen,366743047016721,464171817085120_852982684870696,1483391045016755
1,Peace Adchalaporn,366743047016721,464171817085120_852786564890308,995734707119840
2,Sakchai Sripattarapan,366743047016721,464171817085120_852786564890308,314590702076869
3,อร่อย แต่ไม่อิ่ม หายใจแรงไม่ได้ เดี๋ยวไก่ปลิว,366743047016721,464171817085120_852786564890308,1498011020440171
4,Rawiwan Rattanasopa จะกินๆๆไ,366743047016721,464171817085120_851823724986592,839948846047664
5,น่าอร่อย,366743047016721,464171817085120_851394875029477,10204882054865642
6,ซื้มากินมั่งนะ,366743047016721,464171817085120_851394875029477,383214615432189
7,Sakchai Sripattarapan,366743047016721,464171817085120_851394875029477,314590702076869
8,ขอบคุณคลิปเด็ดจากทีมงานน้องปรางค์ค่ะ,366743047016721,464171817085120_850459585123006,888651551261030
9,บรรยากาศดีอาหารอร่อยคัฟร้านนี้👍,366743047016721,464171817085120_850459585123006,399132166930285
10,Sombut Jantasom,366743047016721,464171817085120_848361835332781,535233773253243
11,Bestie Chairungroj,366743047016721,464171817085120_847947602040871,10203382014051369
12,อดตลอดดด,366743047016721,464171817085120_847366735432291,866677096682851
13,สำรองค่ะ,366743047016721,464171817085120_847366735432291,10152313721453563
14,,366743047016721,464171817085120_847366735432291,10202957225843322
15,ไม่เคยได้ อดตลอดๆๆ,366743047016721,464171817085120_847366735432291,10202957225843322
16,ขอสำรองอันดับ 1 นะครับ 5555+,366743047016721,464171817085120_847366735432291,10203929796383657
17,ขอสำรองได้มั้ยคะ,366743047016721,464171817085120_847366735432291,10202957225843322
18,Intu-on Tatiwan ด้ายยยยย,366743047016721,464171817085120_847366735432291,628427800587352
19,สำรองนะคะ,366743047016721,464171817085120_847366735432291,10206422865143815
20,ขอสำรอง,366743047016721,464171817085120_847366735432291,1533352143551892
21,เจอล่ะแต่อด ขอสำรองค่ะ,366743047016721,464171817085120_847366735432291,213223515754057
22,สำรองด้วยคนค่ะ. 55,366743047016721,464171817085120_847366735432291,275215226236438
23,,366743047016721,464171817085120_847366735432291,10203268085516479
24,ขอสำรองคร่า,366743047016721,464171817085120_847366735432291,771441892879221
